iid,id,idg,partner,pid,wave,round,position,positin1,order,condtn,undergrd,zipcode,career,from,field,gender,age,age_o,race,race_o,samerace,imprace,goal,date,go_out,field_cd,career_c,income,mn_sat,tuition,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,attr,sinc,intel,fun,amb,shar,like,prob,met,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,dec,dec_o,int_corr,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,match
1053,391,167,371,343,21,2,1,19,6,2,Other,19871,Science,CA,Law,0,23,30,1,2,0,9,4,1,4,12,5,91535,800,30730,1,3,4,69,52,10,76,65,9,3,6,4,2,7,5,7,6,6,5,1,1,1,5,1,4,4,3,4,1,4,0,0,0.43691261327787556,8,9,6,4,10,5,5,5,8,9,2,10,9,5,6,9,7,0
1054,9,203,420,21,14,10,19,15,13,1,NYU,10388,Arts,CA,Medicine,0,22,26,1,3,0,8,4,6,3,16,7,146517,890,20001,10,9,21,21,76,65,48,8,9,8,5,1,8,5,5,5,7,4,7,4,1,2,4,2,1,5,6,6,3,4,0,0,0.3268544993458842,4,7,9,5,10,1,6,9,7,6,3,2,1,9,6,7,2,0
1055,364,82,175,166,10,13,10,19,13,1,NYU,12593,Other,CA,Other,0,18,24,5,5,1,7,3,2,7,18,10,147404,1371,43871,8,1,49,19,17,89,72,16,6,1,1,3,2,4,3,6,2,6,6,2,3,1,6,7,9,1,7,1,1,4,0,0,0.864135075925351,2,1,8,2,5,5,2,7,8,4,10,3,3,3,3,7,2,0
1056,33,196,41,77,11,10,2,12,8,2,NYU,11150,Arts,NY,Science,0,36,29,4,2,0,7,4,1,5,7,4,28383,1276,15028,6,6,45,78,51,68,94,98,2,10,5,4,3,7,1,9,4,4,3,4,5,1,4,2,10,1,4,1,3,3,0,0,-0.194426369515021,2,10,5,1,2,4,3,9,2,8,8,3,4,4,9,8,6,0
1057,237,279,476,2,18,2,9,18,9,2,Other,19203,Law,TX,Business,1,18,22,4,5,0,1,2,5,1,3,16,22367,897,42399,2,9,91,94,6,79,90,46,4,9,10,7,2,6,3,1,7,6,1,3,5,1,4,3,10,5,3,7,5,1,0,0,-0.13843601876143197,6,6,4,10,8,4,4,4,7,6,1,5,8,6,1,4,4,0
1058,382,257,211,156,16,3,13,8,4,2,Other,17753,Business,TX,Arts,0,44,35,5,1,0,10,3,5,3,16,2,139347,1110,17962,8,6,67,44,55,21,89,26,9,6,1,9,9,6,2,8,3,7,5,5,3,2,3,7,9,3,5,7,5,2,1,0,-0.41822884626095114,4,7,9,8,5,5,5,7,7,8,10,7,5,5,1,5,6,0
1059,203,64,491,218,13,13,19,15,3,2,NYU,11613,Medicine,NY,Medicine,1,38,21,6,3,0,7,4,4,5,6,11,45109,911,58660,10,5,23,100,79,86,78,66,2,10,5,8,5,1,1,3,4,6,1,3,2,2,2,5,9,2,7,3,4,3,0,0,0.9751723950905404,9,6,5,8,2,7,6,2,7,6,5,3,5,2,5,10,2,0
1060,352,167,382,443,20,10,19,11,13,2,Columbia,18841,Law,CA,Science,1,38,19,6,1,0,8,5,6,2,4,8,104199,1273,27624,3,5,5,76,98,56,100,72,6,3,1,6,10,6,5,9,6,6,5,4,1,2,1,5,2,6,3,1,3,3,0,0,-0.5192654023054615,7,1,8,4,9,9,9,9,5,1,6,5,7,4,2,7,8,0
1061,474,210,204,282,3,7,12,4,11,1,Other,10885,Medicine,NY,Arts,0,33,20,1,5,0,2,6,2,7,1,1,50897,1378,52386,1,4,5,61,26,97,9,88,3,1,10,3,2,1,3,1,2,6,4,3,5,1,6,3,4,2,7,2,2,3,0,0,-0.0800247225607067,4,6,5,3,4,3,6,10,6,5,9,2,3,6,6,4,7,0
1062,151,268,267,388,13,7,16,18,4,1,NYU,14382,Law,FL,Law,0,29,43,5,2,0,2,5,7,3,4,3,58396,1279,14646,4,3,34,69,35,52,69,38,5,1,7,4,2,4,5,9,4,3,5,5,2,2,3,1,6,1,7,5,1,3,0,0,0.12303628287204038,1,3,6,4,3,9,6,9,4,3,10,9,4,10,6,4,6,0
1063,85,67,33,249,12,3,13,18,5,2,Columbia,15194,Business,Other,Medicine,0,44,29,5,2,0,5,5,5,3,14,3,119187,861,37172,6,2,99,22,42,22,95,70,6,6,9,7,6,4,3,7,7,1,4,5,4,1,6,5,6,2,3,4,2,2,0,0,-0.41393640083541094,10,1,4,1,1,1,10,6,2,7,8,5,6,2,6,6,7,0
1064,329,90,235,147,20,8,19,18,14,2,Columbia,14451,Law,Other,Business,0,39,20,3,4,0,8,5,5,6,17,7,143977,1097,25383,3,9,0,54,75,62,54,83,1,4,1,4,8,1,6,7,6,1,1,6,4,1,1,2,6,6,4,6,5,2,0,0,-0.6132658346356898,5,2,3,2,9,7,5,4,4,2,9,9,3,10,2,8,2,0
1065,186,287,370,394,18,14,11,7,5,1,Columbia,19103,Law,FL,Other,1,25,21,2,5,0,8,3,1,5,8,8,42347,1239,13098,4,2,39,21,95,73,65,3,7,7,4,2,10,5,7,2,1,6,6,3,4,1,5,7,6,4,4,6,1,1,0,0,0.5890599461461086,6,3,5,5,10,9,5,3,3,3,3,9,3,6,7,5,7,0
1066,277,276,33,356,2,12,15,14,2,2,Columbia,15868,Medicine,Other,Business,0,43,23,3,5,0,4,4,5,1,18,11,33347,1432,41697,4,3,98,99,56,26,59,55,6,9,6,1,1,4,2,5,5,1,2,5,5,2,1,1,5,3,1,3,4,3,0,1,0.6350276296590405,9,9,8,7,3,6,8,6,3,9,1,3,9,6,5,9,6,0
1067,474,80,189,299,8,8,3,9,9,2,NYU,14100,Business,NY,Other,0,33,29,3,4,0,4,2,7,7,13,2,134213,1056,20935,4,3,51,20,35,27,26,82,7,4,4,5,7,7,7,10,10,9,9,8,9,1,8,6,9,10,9,8,7,9,1,1,-0.4899131741257581,4,6,9,9,8,2,10,2,5,8,10,8,7,8,5,6,1,1
1068,13,59,178,218,20,11,5,4,9,2,Other,19049,Medicine,TX,Arts,0,18,36,6,6,1,9,4,7,1,14,8,55134,1388,16505,8,3,80,48,35,82,37,28,3,2,6,1,1,1,1,1,3,5,7,5,1,2,4,3,8,6,5,4,1,4,0,0,0.6673939096967316,1,9,10,4,5,8,10,4,10,9,8,10,4,8,1,9,4,0
1069,320,26,385,139,8,14,7,17,3,1,Columbia,19338,Other,CA,Law,0,21,27,6,1,0,3,3,2,5,8,16,65937,954,17592,4,7,48,56,89,94,92,88,1,1,2,1,1,6,2,1,1,5,7,5,5,2,6,3,2,1,1,7,5,1,0,0,-0.14057101304452102,7,3,1,6,4,3,3,1,4,4,10,5,4,7,4,3,7,0
1070,129,185,92,72,8,8,9,7,2,2,Columbia,17528,Science,FL,Arts,0,27,18,3,5,0,8,1,1,7,6,9,113487,974,19350,7,9,91,25,20,10,82,92,3,7,4,10,8,5,3,10,2,3,3,4,2,1,5,6,6,1,7,5,4,3,0,0,0.15264745921689093,5,3,10,1,1,2,1,9,8,10,1,1,4,1,8,9,7,0
1071,499,147,18,197,13,8,5,12,7,2,Columbia,12007,Other,Other,Medicine,0,28,34,2,5,0,7,1,6,4,18,2,139668,1478,25233,2,3,85,10,20,17,71,8,7,9,7,1,8,8,10,7,10,7,8,9,7,2,8,10,6,9,6,8,10,8,1,1,0.6046684518354144,5,10,2,9,2,9,10,4,6,3,10,9,2,6,9,1,6,1
1072,65,23,77,469,13,8,6,14,9,2,NYU,14374,Science,TX,Other,1,34,33,5,5,1,9,6,6,2,5,9,34889,1299,25818,1,7,63,19,48,16,36,38,3,5,2,9,1,1,7,7,3,4,7,1,1,2,6,7,4,3,4,3,4,4,0,0,-0.8424961356105183,1,8,2,5,1,8,6,3,5,6,4,3,5,4,1,3,2,0
1073,464,75,396,193,8,6,6,2,3,1,Columbia,18897,Other,Other,Arts,1,42,26,4,4,1,9,1,4,6,5,3,84781,1398,46424,7,2,12,62,31,24,72,71,2,8,4,5,2,5,2,6,5,2,3,6,4,2,3,1,2,5,6,6,3,2,0,0,-0.9969207856008622,10,5,8,7,6,1,2,5,8,1,2,9,5,6,1,10,9,0
1074,35,77,190,262,16,3,3,11,12,1,Columbia,19285,Science,NY,Other,0,44,42,2,3,0,10,5,4,4,13,13,52388,1131,49643,3,7,72,20,89,79,42,86,4,9,3,3,9,5,6,4,7,1,5,6,1,2,6,6,4,1,4,5,2,4,1,0,0.6758387750818913,3,1,5,9,3,2,3,7,4,5,1,8,3,8,1,4,9,0
1075,432,291,48,419,18,2,1,1,11,1,Columbia,16031,Law,NY,Business,0,40,38,2,5,0,7,2,3,2,2,9,68879,1491,27891,1,8,30,1,17,22,67,26,7,2,1,9,6,6,9,6,9,4,8,9,6,2,6,10,6,8,3,7,10,7,1,1,0.06121906686706402,3,10,1,4,4,1,1,6,6,5,4,10,6,8,6,9,1,1
1076,491,245,492,301,3,5,7,1,1,2,NYU,19909,Arts,TX,Other,0,24,26,1,3,0,6,4,7,1,6,6,99145,925,29680,2,1,79,0,22,95,93,17,6,4,1,2,7,5,1,1,5,6,1,3,2,1,4,2,7,6,3,3,4,2,0,0,-0.0069927336474411295,6,7,3,6,4,10,2,10,4,5,8,6,10,7,7,2,4,0
1077,291,150,10,283,10,6,9,15,9,2,NYU,18164,Other,TX,Arts,1,29,44,4,6,0,5,6,5,1,2,1,143113,1404,17366,5,3,41,81,56,13,77,13,9,7,10,4,2,3,7,1,7,7,5,3,5,1,5,3,4,4,2,2,1,1,0,0,-0.9793581539673086,9,9,9,8,4,3,8,1,7,9,5,5,4,2,8,10,9,0
1078,328,230,112,35,17,4,11,10,11,2,Columbia,17449,Business,CA,Business,0,38,40,1,6,0,10,4,7,5,14,11,114444,842,39308,7,1,96,89,58,84,51,40,10,4,7,5,7,4,4,7,3,5,4,6,5,1,1,1,9,4,4,1,4,4,0,1,0.13999594208183685,5,7,7,2,4,10,4,9,6,7,4,1,6,2,9,9,9,0
1079,347,234,372,398,19,11,17,13,2,1,Other,15161,Business,TX,Business,1,24,26,4,1,0,3,3,5,4,15,17,84308,938,27837,1,2,16,2,24,23,8,21,2,2,7,3,5,4,5,7,5,7,5,3,4,1,6,3,6,6,2,5,1,2,0,0,-0.1343792478632,9,1,1,9,2,10,4,2,3,9,2,4,2,1,7,7,2,0
1080,90,69,264,214,17,9,2,18,5,2,NYU,11594,Science,NY,Law,0,29,29,5,3,0,5,3,3,6,2,1,88140,1320,11901,6,3,66,33,8,49,96,91,5,7,9,3,4,2,4,1,3,5,6,1,3,1,3,4,2,6,7,2,1,3,0,1,0.2688917620939115,8,1,3,6,2,1,7,2,10,2,10,9,8,3,8,5,9,0
1081,361,52,100,140,10,7,11,5,14,1,Other,18451,Other,Other,Law,0,32,40,3,6,0,1,4,2,4,16,14,124457,1460,58564,6,7,95,60,79,54,22,12,9,9,4,3,2,4,5,4,1,6,6,6,1,2,5,4,9,5,4,6,4,4,0,0,-0.7404349387594951,7,3,8,6,2,9,2,3,5,6,4,5,3,10,5,7,2,0
1082,179,207,278,40,10,3,13,4,5,2,Columbia,16202,Other,NY,Law,0,19,26,3,3,1,8,1,2,6,6,3,48522,1172,34603,6,9,60,53,45,65,32,76,10,8,10,9,6,6,4,7,5,7,3,1,2,2,2,6,7,5,2,3,2,3,1,0,0.18436750913298727,5,10,6,10,1,4,1,8,1,9,2,1,6,1,8,3,9,0
1083,170,259,255,498,5,13,10,7,6,1,Columbia,12376,Arts,FL,Business,0,31,32,5,2,0,2,2,7,6,5,13,81562,1524,19030,1,5,43,87,86,61,98,61,3,3,3,6,7,9,8,8,8,6,5,7,6,1,10,8,9,8,5,4,7,7,1,1,-0.13649111406500092,8,8,9,7,4,5,5,3,10,3,4,7,6,6,9,2,6,1
1084,263,261,424,158,15,5,12,4,5,1,Columbia,17729,Arts,FL,Arts,1,30,19,1,1,1,3,3,7,3,10,10,63185,834,37693,4,1,20,36,91,14,88,31,1,10,10,9,6,7,5,10,7,4,9,7,9,2,6,5,10,7,3,9,7,9,1,1,-0.3730759330273026,5,9,4,10,6,10,4,1,4,2,4,6,2,3,9,4,5,1
1085,302,66,346,436,11,5,1,9,9,2,NYU,15182,Arts,NY,Law,1,21,28,1,2,0,2,1,2,5,9,4,63458,1453,25133,7,8,70,36,1,58,72,70,3,6,9,7,4,5,3,7,2,6,2,2,3,1,6,2,8,6,4,3,2,2,1,0,0.6978882445639336,3,9,4,3,1,4,1,10,8,1,5,7,9,8,2,7,8,0
1086,8,23,142,410,19,8,18,19,9,2,NYU,17664,Medicine,TX,Medicine,0,31,28,1,5,0,6,3,1,7,7,11,73018,1215,46051,2,9,90,33,19,32,88,57,8,3,7,10,1,3,2,6,4,7,4,6,1,2,1,3,3,5,3,1,3,1,0,1,0.7309761048534593,3,7,7,1,6,6,7,5,7,4,2,2,5,8,6,5,2,0
1087,215,217,485,89,7,11,11,19,10,2,NYU,16907,Other,NY,Medicine,0,31,25,2,3,0,2,2,3,5,7,14,138063,1500,54305,1,7,44,76,53,73,81,77,6,2,9,4,8,10,9,5,9,5,6,8,8,2,10,9,5,8,4,5,8,9,1,1,-0.7388588706848729,4,9,6,4,8,5,8,5,9,8,8,6,10,5,10,6,7,1
1088,32,131,88,264,15,3,13,8,3,1,Other,11310,Medicine,CA,Business,1,33,40,2,2,1,8,6,6,2,1,7,88869,1328,34313,7,6,89,80,62,13,92,42,4,2,8,4,4,6,4,5,2,5,3,5,1,2,1,7,5,5,5,4,3,4,0,0,0.4461011242785444,3,5,7,5,2,7,4,3,8,3,7,5,7,7,6,9,8,0
1089,221,255,129,44,20,5,15,18,2,2,Columbia,16387,Medicine,NY,Medicine,1,24,23,1,4,0,3,3,3,1,4,10,94452,914,27849,7,6,26,76,19,50,67,38,8,1,3,8,8,3,5,1,5,6,3,1,4,2,2,7,1,2,7,4,2,3,0,0,-0.4196282238356872,4,9,6,7,9,5,4,4,3,7,6,9,4,9,4,8,5,0
1090,301,242,114,31,21,3,12,13,14,2,NYU,19593,Arts,TX,Medicine,1,36,38,5,1,0,2,4,1,7,16,7,127139,941,34164,1,6,66,65,37,80,18,54,4,3,7,8,2,1,7,10,3,4,4,6,1,1,2,2,10,3,6,3,1,1,0,1,-0.055709522810701406,3,9,8,8,3,4,5,2,2,10,6,6,10,3,9,1,4,0
1091,421,54,358,123,2,10,9,1,9,2,Other,13299,Business,CA,Science,1,19,37,4,5,0,3,5,1,5,7,4,72237,815,51390,2,2,14,26,91,13,86,30,1,2,9,3,6,6,5,7,1,4,1,6,4,1,3,6,9,4,1,4,5,2,0,1,0.8187326763023852,3,6,10,8,10,5,3,5,1,3,2,2,7,9,1,5,10,0
1092,33,7,282,179,1,14,6,4,10,1,Columbia,19967,Business,NY,Business,0,27,24,2,5,0,1,4,3,7,1,13,69937,1002,36007,4,8,76,8,33,20,7,46,2,4,4,7,5,6,6,9,7,2,5,5,3,1,3,1,4,5,5,6,3,4,1,0,-0.24054495062935333,9,10,6,1,4,8,6,8,6,1,1,2,9,3,5,7,5,0
1093,310,35,232,468,1,4,4,19,8,1,Columbia,17448,Science,Other,Arts,1,35,20,1,1,1,4,5,7,5,18,14,71193,1493,11612,9,9,44,85,64,2,19,5,4,6,4,4,5,5,7,7,4,1,6,4,2,2,1,2,1,1,6,4,4,2,1,0,-0.021522082878490112,9,9,3,8,8,2,1,2,8,6,6,2,5,5,6,5,5,0
1094,50,47,215,116,2,2,19,1,5,1,Columbia,16031,Science,CA,Other,0,34,25,6,3,0,4,2,3,1,12,3,102647,1475,40436,2,8,21,77,42,62,33,17,9,9,2,8,9,7,4,1,3,6,7,5,3,1,4,1,6,4,3,5,4,3,0,0,0.9326709789034633,9,5,2,10,8,6,8,8,8,7,4,6,10,4,1,4,1,0
1095,462,29,308,49,16,9,19,12,9,2,Other,18363,Other,TX,Other,1,22,35,6,5,0,2,6,4,2,7,8,34827,1111,47067,6,3,14,69,42,79,94,59,1,10,4,5,6,5,7,4,1,1,1,3,4,2,2,7,10,2,5,1,2,3,0,0,0.6186525842223003,9,6,2,8,9,5,8,2,4,1,1,10,2,2,3,3,9,0
1096,270,43,114,414,12,8,14,19,7,1,Columbia,11580,Medicine,CA,Science,1,29,34,1,1,1,6,3,6,3,17,6,95104,1420,16179,2,7,25,70,65,3,62,5,8,10,5,3,5,6,1,5,3,3,1,6,1,1,1,2,8,3,1,6,4,2,0,0,0.1991058686675231,7,5,1,8,9,9,9,1,5,7,4,3,4,7,7,3,6,0
1097,106,248,290,464,12,6,8,12,5,2,Other,16850,Other,TX,Other,1,23,28,5,1,0,2,3,6,1,17,11,109005,1197,15790,7,2,44,54,17,33,30,87,4,9,4,7,7,5,6,6,6,6,6,4,5,1,6,4,4,1,6,2,1,3,0,0,0.3409295449616421,7,3,5,6,8,10,3,1,5,4,8,6,5,7,3,3,8,0
1098,7,84,180,206,4,9,13,19,13,1,Columbia,10443,Arts,TX,Science,1,39,19,3,5,0,10,4,3,7,12,8,126784,846,29457,3,7,85,82,73,19,97,37,6,3,8,6,1,6,1,2,2,1,7,4,2,2,3,2,7,1,4,7,2,3,0,0,-0.9370658007786434,7,5,10,5,6,9,10,8,10,2,3,10,6,7,1,4,7,0
1099,435,198,415,12,6,9,2,5,5,2,NYU,10633,Medicine,Other,Other,1,26,42,4,4,1,8,6,7,1,17,10,148171,1100,29021,9,5,65,27,34,97,27,19,4,3,10,3,9,7,6,5,6,2,1,3,2,1,5,7,8,6,5,5,5,4,0,0,-0.6614468018099384,3,3,10,2,8,9,2,2,2,6,9,9,5,4,7,9,4,0
1100,52,92,454,115,7,4,18,10,4,1,Other,10106,Science,NY,Medicine,0,37,38,2,3,0,6,5,5,1,9,2,38160,999,18814,6,2,90,57,73,86,53,85,8,5,5,10,6,4,1,5,4,5,3,5,4,2,1,4,4,5,4,2,5,2,1,0,-0.37050969933950584,7,8,3,1,2,1,6,4,5,7,2,2,4,7,2,7,2,0
1101,329,73,183,79,9,10,8,18,5,2,NYU,10193,Medicine,Other,Other,0,18,44,2,1,0,7,5,1,3,4,13,65964,1021,34747,3,8,57,76,83,82,99,51,5,1,6,2,7,5,6,9,7,3,4,5,2,1,4,5,4,2,3,1,1,4,0,0,-0.5027375874595801,6,8,4,3,8,10,10,6,4,5,5,3,1,5,6,1,8,0
1102,408,50,302,369,20,6,11,16,9,1,Columbia,15956,Arts,TX,Arts,1,39,41,6,1,0,6,5,3,6,11,7,80713,973,12285,7,6,82,64,37,85,7,62,9,7,7,4,6,7,1,3,5,3,3,2,3,2,5,3,2,4,2,6,1,1,0,0,-0.043774600566797384,7,9,8,2,1,10,1,5,9,2,8,6,10,9,7,5,3,0
1103,222,144,165,108,8,11,12,1,2,1,Other,10835,Law,TX,Science,1,32,36,3,2,0,9,1,3,7,7,1,73951,1011,41978,10,6,5,46,89,100,41,98,3,6,5,2,8,5,1,9,2,4,1,6,2,2,1,1,9,6,7,4,2,4,1,1,-0.2886509465040976,4,5,7,10,5,3,8,5,4,4,6,8,2,4,7,4,1,0
1104,18,84,183,95,12,6,2,8,6,1,NYU,15876,Business,FL,Medicine,0,38,24,6,5,0,2,6,7,7,3,4,105151,1427,17279,6,1,94,39,36,60,19,59,2,8,2,5,10,4,6,9,4,3,3,3,3,1,2,3,1,5,6,3,1,3,0,1,0.12929678091561003,10,3,7,6,7,10,4,10,7,10,5,1,10,1,7,8,5,0
1105,317,226,358,36,9,14,4,16,4,1,Columbia,19166,Arts,NY,Law,1,43,35,5,3,0,7,6,3,5,3,17,92035,838,50292,10,4,12,89,3,52,13,12,5,4,2,3,10,6,2,7,4,1,6,2,3,1,5,4,10,5,3,5,4,4,0,0,0.13563196560684632,6,8,8,8,6,6,3,9,7,8,5,6,4,9,5,4,4,0
1106,459,58,256,193,15,1,5,11,11,1,Columbia,17399,Business,CA,Science,1,23,25,5,5,1,8,3,1,7,7,14,115973,1334,32091,4,3,71,41,30,47,81,43,2,3,4,10,9,5,2,9,6,3,3,1,3,2,1,4,5,2,4,6,5,4,0,0,0.3295916507277141,10,1,9,5,1,6,5,5,5,10,7,5,4,3,8,5,3,0
1107,39,208,154,317,18,6,14,2,14,2,Columbia,18497,Science,FL,Business,0,36,31,5,4,0,1,5,4,2,8,5,138760,1581,32841,7,6,44,14,54,98,70,98,10,4,10,9,8,10,7,4,8,6,9,10,9,2,10,7,4,7,7,10,10,10,1,1,0.08603630917005933,1,8,10,5,5,2,6,9,3,6,4,3,5,8,10,3,4,1
1108,229,269,155,384,18,2,3,12,10,1,Columbia,12865,Other,CA,Science,1,35,24,3,5,0,8,1,4,7,2,17,121531,1560,58888,2,1,14,76,62,71,96,69,3,8,2,4,9,6,9,9,10,9,10,9,6,1,6,10,8,10,8,10,9,5,1,1,0.9458373678900585,6,9,7,9,5,5,3,10,6,7,4,8,6,5,2,2,7,1
1109,407,256,281,138,3,9,1,15,8,1,NYU,11412,Science,NY,Science,1,23,38,6,5,0,5,1,5,1,13,12,45698,822,45169,9,3,1,42,63,48,25,90,4,1,1,2,9,6,8,4,10,8,7,8,8,1,6,9,3,9,9,8,7,7,1,1,0.19100253679928048,1,6,2,9,7,4,5,2,3,9,1,6,4,10,2,4,10,1
1110,410,75,377,224,8,5,13,18,11,1,NYU,12859,Other,CA,Arts,0,30,44,3,4,0,9,3,5,4,7,11,42077,1362,13229,3,3,47,25,39,93,38,81,10,6,8,9,7,3,6,7,4,2,4,5,1,1,1,1,10,5,3,2,4,2,0,0,0.2260104878362379,8,10,8,2,8,1,3,6,8,5,1,2,1,5,7,1,4,0
1111,95,276,267,70,17,2,9,4,4,2,Other,17481,Arts,CA,Science,0,18,21,2,6,0,7,1,6,7,1,17,113223,969,29499,7,2,1,47,48,22,44,50,7,4,1,3,6,5,6,2,2,7,5,2,3,2,2,1,5,5,3,6,5,1,0,0,-0.8456480054234108,5,3,6,10,3,4,10,7,9,2,3,5,4,3,1,8,7,0
1112,19,22,145,432,18,5,8,3,10,2,Other,11286,Law,CA,Business,0,40,34,6,5,0,9,1,1,1,13,5,147486,981,54543,3,1,43,75,88,99,77,76,4,4,2,2,3,2,2,8,7,7,4,2,5,1,2,6,2,2,7,5,3,2,0,0,0.18090382378243275,3,2,10,5,10,5,5,4,2,1,4,5,4,1,10,2,10,0
1113,243,189,360,451,3,13,6,13,4,1,NYU,17436,Other,NY,Law,1,40,22,6,6,1,6,4,1,3,14,14,65625,1024,36452,7,2,67,2,23,40,78,35,6,9,1,3,2,1,6,7,4,6,2,2,4,2,3,7,4,6,4,4,1,1,0,0,-0.9567063713876827,7,9,5,3,8,2,5,6,2,7,7,10,1,5,7,10,2,0
1114,57,121,270,237,7,11,12,19,3,1,Columbia,15360,Medicine,FL,Medicine,0,43,29,2,1,0,10,1,3,4,7,7,105654,1067,24823,2,9,25,69,74,24,11,97,6,2,10,6,7,5,5,7,6,7,5,2,1,1,1,1,5,4,6,1,1,3,0,0,-0.7466791872833212,1,3,9,4,1,8,2,9,8,6,7,4,2,6,8,6,7,0
1115,29,273,278,477,10,2,9,5,7,1,NYU,13655,Other,NY,Other,0,30,26,4,4,1,3,5,6,6,3,1,148298,1225,56302,8,8,68,55,92,10,19,85,4,6,6,7,4,3,4,10,6,4,4,2,1,1,1,7,4,6,6,1,2,1,0,0,0.29404928354649007,1,1,2,5,1,2,4,5,4,4,9,10,2,5,4,9,4,0
1116,446,147,97,491,3,6,17,14,5,2,Other,10590,Law,Other,Other,0,24,43,6,1,0,3,4,3,1,18,2,115520,1009,17191,1,4,95,76,35,49,53,21,7,7,5,4,7,6,3,1,1,6,2,4,3,2,4,2,4,1,4,6,2,3,1,0,-0.8984211776876585,2,1,5,4,5,1,1,2,10,7,8,1,6,5,1,5,1,0
1117,146,3,391,189,15,6,12,8,3,1,Other,19497,Arts,CA,Arts,0,32,37,1,1,1,9,5,1,4,13,1,81003,1397,37029,4,5,33,3,72,17,50,11,2,3,3,7,8,2,6,2,3,6,1,2,2,1,6,5,4,6,3,4,5,1,0,0,0.6264021574738314,9,7,4,6,8,8,9,6,4,10,2,8,4,1,5,2,9,0
1118,107,13,183,217,7,11,4,15,14,1,Other,10829,Business,FL,Science,0,29,30,6,3,0,7,1,7,2,3,12,45510,1476,43027,6,3,32,91,68,66,26,21,10,2,4,9,5,3,6,2,3,2,3,3,2,2,2,4,9,1,2,6,2,3,0,0,-0.9712458692981374,6,2,8,2,5,9,6,9,5,10,9,2,8,6,8,8,5,0
1119,350,247,142,456,18,10,4,10,8,2,Other,13713,Medicine,TX,Business,0,44,42,1,6,0,10,1,4,2,18,14,140408,1317,19502,3,5,40,50,15,52,23,97,7,1,6,6,9,1,6,10,7,3,4,5,5,1,4,6,2,5,1,4,1,3,0,0,-0.9189389824221823,10,1,5,4,3,8,3,1,6,8,3,9,9,9,7,2,1,0
1120,383,217,268,122,14,14,14,7,4,1,Columbia,19360,Business,TX,Law,1,43,35,6,1,0,10,2,3,2,9,5,22227,1519,24826,9,5,61,86,51,65,3,29,3,4,7,4,3,4,7,3,2,1,3,1,2,2,2,6,4,3,6,2,4,3,1,0,-0.3661271297982587,2,2,6,8,3,9,10,7,6,5,1,3,5,6,9,7,10,0
1121,365,218,337,369,3,3,6,18,10,2,NYU,17774,Business,CA,Law,1,18,37,4,1,0,3,1,7,7,2,11,96383,1334,17586,4,6,14,69,45,61,47,30,7,6,6,10,1,4,6,4,3,1,5,4,1,1,5,2,1,5,6,6,4,4,0,1,0.5638027683108571,6,2,6,5,8,9,10,7,9,10,10,2,2,7,5,4,6,0
1122,467,252,157,122,20,3,11,7,4,1,Columbia,11651,Business,TX,Law,0,32,26,1,2,0,8,5,7,2,18,13,129413,1204,21106,9,1,15,71,87,86,16,71,2,8,1,6,5,2,4,2,3,5,3,6,2,1,5,4,5,4,5,5,2,2,0,0,0.2614932789694657,3,4,1,5,1,8,9,3,4,6,1,4,8,4,4,1,9,0
1123,86,162,342,194,6,12,17,19,12,1,NYU,14145,Arts,FL,Science,0,21,21,5,4,0,9,5,3,6,13,9,56912,1539,11718,5,3,41,44,1,83,28,86,9,5,5,10,8,2,6,8,7,2,5,4,1,1,2,6,4,1,1,6,1,2,0,1,-0.2042613990640667,8,3,7,10,6,4,4,10,9,5,1,8,9,4,3,10,6,0
1124,403,145,481,462,7,5,11,16,7,1,Columbia,15520,Medicine,NY,Other,0,30,38,2,5,0,2,3,4,5,6,9,91162,1413,59205,4,7,36,88,20,87,35,68,2,10,8,7,9,1,2,8,3,4,1,1,5,1,6,5,10,6,5,7,1,4,0,0,0.6121875356256177,1,3,2,2,6,10,8,7,2,2,10,8,10,9,8,5,5,0
1125,396,101,369,105,19,4,14,14,3,2,Other,13806,Business,TX,Other,1,40,44,6,1,0,1,3,2,4,16,10,146641,942,58164,3,2,71,93,77,13,98,52,9,7,5,2,10,7,6,5,1,5,3,4,5,2,5,5,1,3,5,7,3,3,1,1,-0.24227750093445688,2,8,2,6,1,1,3,1,4,9,6,9,4,1,9,5,5,0
1126,464,96,6,79,3,12,7,7,11,2,Other,15879,Law,CA,Business,1,44,25,5,6,0,2,4,7,2,13,12,139221,825,59220,2,1,43,76,11,89,53,52,8,1,8,7,9,4,5,8,3,1,6,5,5,1,6,4,2,2,6,6,5,4,0,0,0.23098500909863162,7,2,9,1,3,1,3,5,4,8,9,1,3,7,2,1,1,0
1127,179,208,286,212,21,14,16,18,2,2,Columbia,14912,Medicine,FL,Law,1,42,18,2,5,0,8,5,4,7,18,10,73716,1274,33764,7,7,67,4,0,0,30,3,10,3,4,10,6,6,2,2,3,6,6,1,3,2,4,3,3,3,4,6,5,3,0,0,0.7427834551350136,5,3,6,2,6,3,1,6,5,5,5,7,3,1,1,3,3,0
