,zipcode,gender,age,age_o,race,race_o,samerace,imprace,goal,date,go_out,field_cd,career_c,income,mn_sat,tuition,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,attr,sinc,intel,fun,amb,shar,like,prob,met,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,dec,dec_o,int_corr,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,match
like_o,-0.0,-0.01,0.0,-0.0,-0.01,-0.02,0.02,0.01,-0.0,-0.0,0.01,-0.0,0.0,0.01,-0.01,-0.01,-0.02,0.0,-0.01,0.0,-0.02,0.02,-0.01,-0.02,-0.0,0.0,-0.02,-0.01,-0.01,0.5,0.46,0.15,0.53,0.33,0.44,0.64,0.64,0.0,0.56,0.45,0.16,0.6,0.33,0.43,1.0,0.7,0.55,0.55,0.01,-0.01,-0.0,0.01,-0.01,-0.0,-0.02,0.0,-0.01,0.0,0.01,0.01,-0.01,0.0,0.01,-0.01,-0.01,0.01,0.82
prob_o,0.0,0.0,0.0,-0.01,-0.01,-0.02,0.01,0.01,0.01,-0.0,0.01,-0.02,-0.01,0.01,0.01,-0.01,-0.02,-0.02,-0.01,0.0,-0.02,0.01,-0.01,-0.02,-0.0,0.01,-0.02,-0.01,0.0,0.52,0.46,0.17,0.57,0.36,0.46,0.64,0.73,-0.01,0.59,0.46,0.16,0.63,0.34,0.44,0.7,1.0,0.58,0.58,0.01,-0.01,0.0,-0.0,-0.0,-0.02,-0.01,0.01,0.0,-0.0,0.01,0.01,0.0,-0.01,0.01,-0.0,-0.02,0.0,0.86
dec,-0.0,0.01,-0.0,-0.0,0.01,-0.02,0.02,0.0,0.01,-0.01,0.03,0.0,-0.0,-0.0,0.0,-0.01,0.0,-0.0,-0.01,-0.01,-0.02,0.01,-0.0,-0.01,-0.02,0.0,-0.01,-0.01,-0.01,0.41,0.37,0.14,0.44,0.29,0.36,0.52,0.53,0.0,0.47,0.36,0.13,0.51,0.29,0.35,0.55,0.58,1.0,0.46,-0.01,-0.01,0.01,-0.0,0.0,-0.01,-0.01,-0.0,-0.01,0.0,-0.0,0.01,0.01,-0.02,0.01,-0.01,0.01,0.01,0.68
dec_o,0.02,-0.01,0.01,-0.01,-0.0,-0.01,0.01,0.01,0.0,0.0,0.01,0.01,-0.0,0.02,-0.0,-0.01,-0.01,-0.02,0.0,0.01,-0.02,0.0,-0.01,-0.01,0.0,0.02,-0.01,0.0,-0.02,0.41,0.37,0.14,0.43,0.3,0.36,0.51,0.54,-0.0,0.47,0.36,0.12,0.49,0.26,0.36,0.55,0.58,0.46,1.0,-0.0,-0.0,0.01,0.01,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.01,0.01,-0.0,-0.0,0.02,-0.02,0.0,0.01,0.68
int_corr,-0.01,0.02,-0.02,-0.0,-0.02,-0.01,0.0,0.01,0.02,-0.0,0.01,0.01,-0.02,0.0,-0.01,0.0,0.01,-0.02,0.0,-0.0,-0.01,0.02,0.01,-0.0,-0.0,-0.01,0.0,0.02,-0.0,0.01,-0.0,0.0,0.02,0.01,0.01,-0.01,-0.0,0.03,0.01,0.0,-0.0,0.01,-0.01,0.02,0.01,0.01,-0.01,-0.0,1.0,0.01,-0.0,0.01,0.01,0.01,0.0,0.01,0.02,0.0,0.0,-0.0,-0.03,0.01,-0.01,0.01,-0.01,0.0,0.01
sports,0.01,0.02,0.02,0.02,-0.0,0.01,-0.03,0.01,0.0,0.01,0.0,0.0,0.0,0.0,-0.01,0.02,0.01,0.01,0.02,-0.01,0.01,0.01,0.0,-0.01,0.0,0.01,-0.02,-0.0,0.01,-0.0,0.0,-0.02,-0.02,-0.03,-0.0,-0.03,-0.0,0.0,-0.0,-0.01,0.01,-0.02,-0.01,-0.0,-0.01,-0.01,-0.01,-0.0,0.01,1.0,-0.0,0.01,0.01,0.01,-0.0,-0.01,0.01,0.0,0.0,0.0,0.01,-0.0,-0.02,0.01,-0.0,0.03,-0.01
tvsports,0.0,-0.02,0.0,0.01,-0.01,0.01,0.0,-0.01,0.01,-0.01,-0.01,0.0,0.01,-0.01,-0.0,0.01,-0.01,0.0,0.01,-0.0,0.01,0.01,-0.0,-0.02,-0.01,-0.0,-0.01,-0.0,-0.02,0.0,0.0,0.01,0.01,0.02,0.02,-0.0,0.01,0.01,0.01,0.02,0.01,0.01,-0.01,0.0,-0.0,0.0,0.01,0.01,-0.0,-0.0,1.0,0.01,-0.0,0.02,-0.01,0.01,0.0,-0.01,0.0,-0.01,-0.03,-0.01,0.0,0.0,-0.02,-0.0,0.01
exercise,-0.0,0.0,0.01,-0.01,-0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0.01,-0.0,0.01,0.01,0.0,-0.01,-0.01,0.01,-0.01,0.01,0.0,-0.0,-0.0,-0.01,-0.0,0.01,0.01,0.02,0.01,0.0,0.0,0.01,0.01,-0.01,0.0,-0.01,0.0,0.0,-0.0,0.01,-0.0,-0.01,0.0,0.01,-0.0,-0.0,0.01,0.01,0.01,0.01,1.0,0.01,-0.0,0.01,-0.02,-0.01,0.02,0.01,0.01,-0.01,0.0,0.01,-0.01,0.01,0.01,0.0
dining,-0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.02,0.01,-0.0,0.02,-0.02,0.01,-0.0,-0.01,-0.03,-0.01,-0.0,-0.01,-0.02,-0.01,0.01,-0.01,0.01,-0.01,-0.0,-0.02,0.03,-0.0,-0.0,-0.01,0.0,0.01,0.02,-0.02,-0.01,0.0,-0.01,-0.0,0.0,0.0,-0.01,0.01,-0.01,-0.0,0.0,-0.0,0.01,0.01,-0.0,0.01,1.0,-0.0,0.01,0.02,-0.01,-0.01,-0.0,0.02,-0.0,0.01,0.02,-0.0,0.0,-0.01,-0.0
museums,-0.0,-0.01,-0.0,-0.0,0.0,-0.0,-0.01,-0.02,-0.0,0.0,-0.01,0.01,0.02,0.0,0.01,-0.0,-0.01,-0.01,0.0,-0.01,-0.01,0.0,0.01,-0.01,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,0.0,0.0,-0.01,-0.01,-0.0,-0.01,-0.01,-0.0,-0.01,0.0,0.01,-0.01,-0.01,-0.02,-0.0,-0.02,-0.01,0.0,0.01,0.01,0.02,-0.0,-0.0,1.0,-0.01,0.02,-0.0,0.0,-0.0,0.01,0.01,0.01,-0.01,0.01,-0.0,0.0,-0.01
art,0.01,0.01,0.01,0.02,-0.01,-0.01,-0.01,0.02,0.01,-0.01,-0.01,0.01,0.01,-0.01,-0.0,-0.01,0.01,0.02,-0.01,0.01,-0.01,-0.01,0.02,0.0,-0.0,-0.02,0.01,-0.01,0.0,-0.02,-0.02,0.01,-0.01,-0.01,-0.01,-0.0,-0.01,-0.01,-0.0,-0.02,-0.02,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.0,0.0,-0.0,-0.01,0.01,0.01,-0.01,1.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,-0.01,-0.02,-0.0,0.01,-0.01
hiking,-0.02,0.01,-0.0,-0.02,0.02,0.01,0.01,-0.0,-0.0,0.0,-0.01,0.0,0.02,-0.02,0.01,0.0,0.01,0.0,-0.01,-0.01,-0.0,0.01,0.0,0.0,-0.01,0.01,0.01,-0.02,-0.01,0.0,0.01,-0.0,0.0,-0.02,-0.01,-0.01,-0.01,-0.02,0.01,0.01,0.01,-0.01,0.0,-0.0,0.0,0.01,-0.0,0.0,0.01,-0.01,0.01,-0.02,0.02,0.02,0.01,1.0,-0.01,0.0,-0.03,0.01,-0.0,0.02,0.01,-0.0,-0.02,0.01,0.0
gaming,0.01,0.01,0.01,0.0,-0.02,0.0,0.01,0.01,-0.01,-0.0,-0.0,-0.02,-0.0,-0.02,-0.01,0.02,0.01,-0.01,-0.01,-0.0,0.0,0.01,0.01,-0.01,0.02,0.0,-0.01,0.01,0.0,0.01,0.0,0.02,0.0,0.01,-0.01,-0.0,0.01,-0.0,0.01,0.01,0.02,-0.01,-0.01,-0.0,-0.01,0.0,-0.01,-0.0,0.02,0.01,0.0,-0.01,-0.01,-0.0,0.0,-0.01,1.0,-0.0,0.0,-0.02,-0.01,-0.0,-0.0,-0.02,-0.0,0.0,0.01
clubbing,-0.0,0.01,0.01,0.0,0.02,0.01,0.01,-0.01,0.01,0.01,-0.01,0.01,0.01,-0.01,-0.02,-0.01,-0.0,0.01,0.01,-0.0,0.02,-0.01,-0.0,-0.01,0.0,-0.01,-0.01,-0.01,-0.01,0.0,0.01,0.0,-0.0,-0.0,0.01,0.0,0.0,0.01,-0.01,-0.01,0.0,-0.01,0.01,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.01,0.02,-0.01,0.0,0.01,0.0,-0.0,1.0,0.01,0.01,0.0,0.02,-0.0,-0.02,-0.0,0.02,-0.01
reading,0.0,0.0,-0.0,0.02,-0.0,-0.01,-0.01,0.01,-0.0,-0.0,0.01,0.01,0.01,0.0,0.02,0.02,-0.0,0.0,0.01,0.01,0.01,-0.0,-0.01,-0.01,0.01,0.01,-0.01,0.0,-0.01,0.02,-0.0,-0.01,-0.0,0.0,0.02,0.01,-0.0,0.01,0.02,0.01,-0.02,0.01,-0.01,0.01,0.01,0.01,-0.0,0.01,0.0,0.0,0.0,0.01,-0.0,-0.0,0.0,-0.03,0.0,0.01,1.0,-0.01,0.01,-0.0,-0.01,0.01,-0.0,0.01,0.01
tv,-0.01,-0.0,0.01,-0.01,-0.0,0.02,0.01,0.01,-0.01,0.0,-0.01,0.02,0.0,-0.0,-0.01,-0.0,-0.02,-0.0,-0.01,-0.01,0.0,-0.01,0.01,-0.0,0.01,0.0,-0.01,-0.0,0.01,-0.0,-0.0,0.01,0.01,0.0,0.01,0.0,-0.0,-0.01,-0.0,0.0,-0.02,0.01,0.0,-0.01,0.01,0.01,0.01,0.01,-0.0,0.0,-0.01,0.01,0.02,0.01,0.0,0.01,-0.02,0.01,-0.01,1.0,-0.01,-0.01,0.01,-0.01,-0.0,0.01,0.01
theater,0.02,0.02,-0.01,-0.0,-0.01,0.0,-0.01,0.01,-0.0,0.0,0.0,0.0,-0.01,0.01,0.0,0.01,-0.02,0.01,-0.01,-0.01,-0.01,-0.01,0.02,-0.0,-0.01,0.01,-0.01,-0.01,-0.0,0.01,0.0,0.0,0.0,0.02,-0.01,0.01,0.01,-0.02,-0.0,0.0,0.01,0.01,0.0,0.02,-0.01,0.0,0.01,-0.0,-0.03,0.01,-0.03,-0.01,-0.0,0.01,0.0,-0.0,-0.01,0.0,0.01,-0.01,1.0,0.01,0.01,-0.02,0.0,0.01,0.01
movies,0.01,0.0,0.0,-0.01,0.01,-0.02,0.01,-0.01,0.0,0.0,-0.01,0.0,-0.01,0.0,0.0,0.0,-0.01,0.01,0.02,0.0,-0.01,0.0,0.0,-0.02,-0.01,0.0,-0.01,0.01,0.02,0.0,0.01,0.0,0.01,0.01,-0.0,0.0,0.0,-0.01,0.02,0.02,-0.01,0.0,-0.01,0.01,0.0,-0.01,-0.02,-0.0,0.01,-0.0,-0.01,0.0,0.01,0.01,0.0,0.02,-0.0,0.02,-0.0,-0.01,0.01,1.0,0.02,0.01,-0.01,0.0,-0.0
concerts,0.01,0.01,-0.0,-0.01,-0.01,0.0,-0.03,0.01,0.01,-0.0,-0.01,0.01,-0.01,0.0,0.0,-0.01,0.02,-0.0,-0.01,-0.0,-0.0,0.01,-0.02,-0.02,0.02,-0.0,0.0,-0.01,0.01,0.0,0.0,0.02,0.02,-0.01,0.0,0.02,0.02,0.01,-0.01,0.01,-0.02,-0.0,0.0,0.02,0.01,0.01,0.01,0.02,-0.01,-0.02,0.0,0.01,0.02,-0.01,-0.01,0.01,-0.0,-0.0,-0.01,0.01,0.01,0.02,1.0,-0.0,-0.0,0.02,0.02
music,0.0,-0.02,-0.01,-0.01,-0.01,-0.02,-0.02,0.01,-0.0,0.0,-0.0,-0.01,0.0,0.01,0.0,-0.0,0.0,0.0,-0.01,-0.0,0.01,-0.01,0.01,0.01,0.0,0.0,0.01,-0.0,0.01,0.01,0.0,-0.01,-0.01,0.0,-0.01,-0.01,-0.0,0.0,-0.0,-0.0,-0.01,-0.01,0.0,-0.01,-0.01,-0.0,-0.01,-0.02,0.01,0.01,0.0,-0.01,-0.0,0.01,-0.02,-0.0,-0.02,-0.02,0.01,-0.01,-0.02,0.01,-0.0,1.0,-0.01,-0.01,-0.01
shopping,0.0,0.02,-0.02,-0.01,-0.0,0.0,0.01,-0.0,-0.01,-0.01,-0.01,-0.01,-0.0,-0.01,-0.01,0.0,-0.01,0.01,0.01,-0.01,-0.01,0.0,-0.0,0.01,-0.0,-0.01,0.01,-0.02,-0.01,0.01,-0.03,-0.0,0.0,-0.02,-0.0,-0.01,-0.02,-0.01,-0.01,-0.0,0.0,-0.0,0.01,-0.01,-0.01,-0.02,0.01,0.0,-0.01,-0.0,-0.02,0.01,0.0,-0.0,-0.0,-0.02,-0.0,-0.0,-0.0,-0.0,0.0,-0.01,-0.0,-0.01,1.0,-0.02,-0.01
yoga,-0.01,-0.02,-0.02,0.0,0.0,0.01,0.02,0.0,-0.01,-0.01,-0.0,0.0,-0.0,0.01,0.02,0.01,0.01,0.01,-0.0,0.02,0.01,-0.01,0.0,-0.01,0.0,0.01,0.0,0.01,0.01,-0.01,0.01,-0.0,-0.01,0.01,-0.01,0.01,0.0,-0.0,-0.01,-0.0,0.01,0.0,0.0,0.02,0.01,0.0,0.01,0.01,0.0,0.03,-0.0,0.01,-0.01,0.0,0.01,0.01,0.0,0.02,0.01,0.01,0.01,0.0,0.02,-0.01,-0.02,1.0,0.0
match,0.0,-0.0,0.01,-0.0,-0.01,-0.01,0.01,0.01,-0.0,0.01,0.01,-0.01,-0.01,0.01,0.0,-0.01,-0.02,-0.0,-0.01,0.0,-0.02,0.01,-0.01,-0.02,-0.0,0.01,-0.02,-0.01,-0.01,0.6,0.54,0.2,0.66,0.42,0.54,0.74,0.79,-0.0,0.7,0.54,0.19,0.74,0.4,0.52,0.82,0.86,0.68,0.68,0.01,-0.01,0.01,0.0,-0.0,-0.01,-0.01,0.0,0.01,-0.01,0.01,0.01,0.01,-0.0,0.02,-0.01,-0.01,0.0,1.0
